Player,Pos'n,MLS,Salary, 
"Kershaw, Clayton",lhp-s,9.105,"$35,571,429 ",,
"Trout, Mike",cf,6.070,"$34,083,333 ",,
"Greinke, Zack",rhp-s,13.057,"$34,000,000 ",,
"Cabrera, Miguel",1b,14.101,"$30,000,000 ",,
"Price, David",lhp-s,8.164,"$30,000,000 ",,
"Arrieta, Jake",rhp-s,6.145,"$30,000,000 ",,
"Cespedes, Yoenis",lf,6.000,"$29,000,000 ",,
"Heyward, Jason",rf,8.000,"$28,166,667 ",,
"Verlander, Justin",rhp-s,12.002,"$28,000,000 ",,
"Lester, Jon",lhp-s,11.075,"$27,500,000 ",,
"Pujols, Albert",dh-1b,17.000,"$27,000,000 ",,
"Hernandez, Felix",rhp-s,12.060,"$26,857,143 ",,
"Votto, Joey",1b,10.027,"$25,000,000 ",,
"Stanton, Giancarlo",dh-rf,7.118,"$25,000,000 ",,
"Darvish, Yu",rhp-s,6.000,"$25,000,000 ",,
"Cano, Robinson",2b,12.153,"$24,000,000 ",,
"Fielder, Prince",1b,12.068,"$24,000,000 ",,
"Zimmermann, Jordan",rhp-s,8.154,"$24,000,000 ",,
"Martinez, J.D.",rf,6.036,"$23,750,000 ",,
"Hamels, Cole",lhp-s,11.143,"$23,500,000 ",,
"Mauer, Joe",1b,14.000,"$23,000,000 ",,
"Donaldson, Josh",3b,5.158,"$23,000,000 ",,
"Ramirez, Hanley",dh-1b,12.014,"$22,750,000 ",,
"Gonzalez, Adrian",1b,12.108,"$22,357,143 ",,
"Posey, Buster",c-1b,7.161,"$22,177,778 ",,
"Scherzer, Max",rhp-s,9.079,"$22,142,857 ",,
"Desmond, Ian",1b-of,8.027,"$22,000,000 ",,
"Tanaka, Masahiro",rhp-s,4.000,"$22,000,000 ",,
"Kemp, Matt",lf,11.049,"$21,750,000 ",,
"Harper, Bryce",rf,5.159,"$21,625,000 ",,
"Freeman, Freddie",1b,7.033,"$21,359,375 ",,
"Ellsbury, Jacoby",cf,10.037,"$21,142,857 ",,
"Porcello, Rick",rhp-s,8.170,"$21,125,000 ",,
"Davis, Chris",1b,8.061,"$21,118,782 ",,
"Shields, James",rhp-s,11.125,"$21,000,000 ",,
"Cueto, Johnny",rhp-s,10.000,"$21,000,000 ",,
"Bailey, Homer",rhp-s,9.017,"$21,000,000 ",,
"Hosmer, Eric",1b,6.146,"$21,000,000 ",,
"Molina, Yadier",c,13.123,"$20,000,000 ",,
"Wright, David",3b,13.075,"$20,000,000 ",,
"Martin, Russell",c,11.150,"$20,000,000 ",,
"Tulowitzki, Troy",ss,11.033,"$20,000,000 ",,
"Braun, Ryan",lf,10.129,"$20,000,000 ",,
"Choo, Shin-Soo",dh-rf,10.119,"$20,000,000 ",,
"Gordon, Alex",lf,10.092,"$20,000,000 ",,
"Melancon, Mark",rhp-c,7.098,"$20,000,000 ",,
"Samardzija, Jeff",rhp-s,8.028,"$19,800,000 ",,
"Wainwright, Adam",rhp-s,12.027,"$19,500,000 ",,
"Seager, Kyle",3b,6.085,"$19,000,000 ",,
"Encarnacion, Edwin",1b-dh,12.085,"$18,666,666 ",,
"Sandoval, Pablo",3b,9.042,"$18,600,000 ",,
"Pence, Hunter",rf,10.156,"$18,500,000 ",,
"Strasburg, Stephen",rhp-s,7.118,"$18,333,333 ",,
"Santana, Carlos",dh-1b,7.115,"$18,333,333 ",,
"Beltre, Adrian",3b,19.096,"$18,000,000 ",,
"Martinez, Victor",dh,14.114,"$18,000,000 ",,
"Arenado, Nolan",3b,4.155,"$17,750,000 ",,
"Kazmir, Scott",lhp-s,11.119,"$17,666,666 ",,
"Murphy, Daniel",2b,8.109,"$17,500,000 ",,
"Jones, Adam",cf,10.139,"$17,333,333 ",,
"Chapman, Aroldis",lhp-c,7.009,"$17,200,000 ",,
"Belt, Brandon",1b,6.128,"$17,200,000 ",,
"McCann, Brian",c,12.117,"$17,000,000 ",,
"Leake, Mike",rhp-s,8.000,"$17,000,000 ",,
"Hill, Rich",lhp-s,8.127,"$16,666,666 ",,
"Zobrist, Ben",2b-rf,10.134,"$16,500,000 ",,
"Fowler, Dexter",rf,8.168,"$16,500,000 ",,
"Pedroia, Dustin",2b,11.041,"$16,125,000 ",,
"Upton, Justin",lf,10.060,"$16,000,000 ",,
"Kennedy, Ian",rhp-s,8.124,"$16,000,000 ",,
"Davis, Wade",rhp-c,8.032,"$16,000,000 ",,
"Machado, Manny",ss,5.056,"$16,000,000 ",,
"Andrus, Elvis",ss,9.000,"$15,250,000 ",,
"Crawford, Brandon",ss,6.094,"$15,200,000 ",,
"McCutchen, Andrew",rf,8.123,"$14,750,000 ",,
"Cruz, Nelson",dh-rf,10.082,"$14,250,000 ",,
"Zimmerman, Ryan",1b,12.032,"$14,000,000 ",,
"Duffy, Danny",lhp-s,6.085,"$14,000,000 ",,
"Cain, Lorenzo",cf-rf,6.074,"$14,000,000 ",,
"Cobb, Alex",rhp-s,6.061,"$14,000,000 ",,
"Holland, Greg",rhp-c,6.028,"$14,000,000 ",,
"Blackmon, Charlie",cf,5.102,"$14,000,000 ",,
"Carpenter, Matt",1b,6.012,"$13,750,000 ",,
"Longoria, Evan",3b,9.170,"$13,666,667 ",,
"Kipnis, Jason",2b,6.069,"$13,666,666 ",,
"Santana, Ervin",rhp-s,12.104,"$13,500,000 ",,
"Prado, Martin",3b,10.105,"$13,500,000 ",,
"Tomas, Yasmany",lf,3.000,"$13,500,000 ",,
"Hughes, Phil",rhp-s,10.113,"$13,200,000 ",,
"Keuchel, Dallas",lhp-s,5.089,"$13,200,000 ",,
"Mesoraco, Devin",c,6.028,"$13,125,000 ",,
"Headley, Chase",3b,9.123,"$13,000,000 ",,
"Robertson, David",rhp,9.070,"$13,000,000 ",,
"Happ, J.A.",lhp-s,9.047,"$13,000,000 ",,
"Estrada, Marco",rhp-s,8.035,"$13,000,000 ",,
"Kimbrel, Craig",rhp-c,7.066,"$13,000,000 ",,
"Reddick, Josh",rf,7.050,"$13,000,000 ",,
"Abreu, Jose",1b,4.000,"$13,000,000 ",,
"Cozart, Zack",3b,6.084,"$12,666,666 ",,
"Sale, Chris",lhp-s,7.061,"$12,500,000 ",,
"Trumbo, Mark",dh-rf,7.027,"$12,500,000 ",,
"Chatwood, Tyler",rhp-s,6.039,"$12,500,000 ",,
"Gurriel, Yulieski",1b,1.043,"$12,400,000 ",,
"Rendon, Anthony",3b,4.130,"$12,300,000 ",,
"Gonzalez, Gio",lhp-s,8.162,"$12,000,000 ",,
"Bumgarner, Madison",lhp-s,7.127,"$12,000,000 ",,
"Turner, Justin",3b,7.045,"$12,000,000 ",,
"Lynn, Lance",rhp-s,6.119,"$12,000,000 ",,
"Britton, Zach",lhp-c,5.158,"$12,000,000 ",,
"Springer, George",cf,3.166,"$12,000,000 ",,
"Martinez, Carlos",rhp-s,4.073,"$11,700,000 ",,
"McCarthy, Brandon",rhp-s,11.122,"$11,500,000 ",,
"Gardner, Brett",lf,9.072,"$11,500,000 ",,
"Brantley, Michael",lf,7.131,"$11,500,000 ",,
"Jansen, Kenley",rhp-c,7.073,"$11,333,333 ",,
"Markakis, Nick",rf,12.000,"$11,000,000 ",,
"Kinsler, Ian",2b,12.000,"$11,000,000 ",,
"Morales, Kendrys",dh-1b,9.170,"$11,000,000 ",,
"Bruce, Jay",rf,9.125,"$11,000,000 ",,
"Span, Denard",cf,9.111,"$11,000,000 ",,
"Goldschmidt, Paul",1b,6.059,"$11,000,000 ",,
"Simmons, Andrelton",ss,5.125,"$11,000,000 ",,
"Castro, Starlin",2b,7.150,"$10,857,143 ",,
"Bryant, Kris",3b,2.171,"$10,850,000 ",,
"Gordon, Dee",2b-cf,5.154,"$10,800,000 ",,
"Kluber, Corey",rhp-s,5.074,"$10,700,000 ",,
"Allen, Cody",rhp,5.076,"$10,575,000 ",,
"Wieters, Matt",c,8.129,"$10,500,000 ",,
"Cervelli, Francisco",c,7.146,"$10,500,000 ",,
"Ramos, Wilson",c,7.047,"$10,500,000 ",,
"Davis, Khris",lf,4.104,"$10,500,000 ",,
"Betts, Mookie",rf,3.070,"$10,500,000 ",,
"Harrison, Josh",2b,6.033,"$10,250,000 ",,
"Sabathia, CC",lhp-s,17.000,"$10,000,000 ",,
"Parra, Gerardo",lf,8.145,"$10,000,000 ",,
"Chen, Wei-Yin",lhp-s,6.000,"$10,000,000 ",,
"Segura, Jean",ss,5.065,"$9,600,000 ",,
"Ramos, A.J.",rhp-c,5.030,"$9,225,000 ",,
"Puig, Yasiel",rf,4.102,"$9,214,286 ",,
"Nova, Ivan",rhp-s,7.024,"$9,166,667 ",,
"Soria, Joakim",rhp,11.000,"$9,000,000 ",,
"Hammel, Jason",rhp-s,10.153,"$9,000,000 ",,
"Ziegler, Brad",rhp-c,9.122,"$9,000,000 ",,
"O'Day, Darren",rhp,9.103,"$9,000,000 ",,
"Morrow, Brandon",rhp-c,9.086,"$9,000,000 ",,
"Miller, Andrew",lhp,9.062,"$9,000,000 ",,
"Hunter, Tommy",rhp,8.066,"$9,000,000 ",,
"Forsythe, Logan",2b,6.113,"$9,000,000 ",,
"Altuve, Jose",2b,6.072,"$9,000,000 ",,
"Moore, Matt",lhp-s,6.000,"$9,000,000 ",,
"Dozier, Brian",2b,5.100,"$9,000,000 ",,
"Gyorko, Jedd",2b-3b,4.164,"$9,000,000 ",,
"Ozuna, Marcell",lf,4.124,"$9,000,000 ",,
"Quintana, Jose",lhp-s,5.133,"$8,850,000 ",,
"Chacin, Jhoulys",rhp-s,7.054,"$8,750,000 ",,
"Perez, Salvador",c,6.050,"$8,700,000 ",,
"LeMahieu, D.J.",2b,5.128,"$8,500,000 ",,
"Pomeranz, Drew",lhp-s,5.013,"$8,500,000 ",,
"Calhoun, Kole",rf,4.130,"$8,500,000 ",,
"Schoop, Jonathan",2b-3b,4.027,"$8,500,000 ",,
"Minor, Mike",lhp,6.138,"$8,333,333 ",,
"Cabrera, Asdrubal",ss,10.027,"$8,250,000 ",,
"Reed, Addison",rhp,6.001,"$8,250,000 ",,
"Gregorius, Didi",ss,4.159,"$8,250,000 ",,
"Teheran, Julio",rhp-s,5.062,"$8,166,667 ",,
"Garcia, Jaime",lhp-s,9.047,"$8,000,000 ",,
"Valbuena, Luis",1b-3b,7.148,"$8,000,000 ",,
"Castro, Jason",c,7.104,"$8,000,000 ",,
"Carrasco, Carlos",rhp-s,6.147,"$8,000,000 ",,
"Frazier, Todd",3b,6.071,"$8,000,000 ",,
"Herrera, Kelvin",rhp,5.157,"$7,937,500 ",,
