Player,Pos'n,MLS,2019 
"Strasburg, Stephen",rhp-s,8.118,"$38,333,333 "
"Scherzer, Max",rhp-s,10.079,"$37,405,562 "
"Greinke, Zack",rhp-s,14.057,"$34,500,000 "
"Kershaw, Clayton",lhp-s,10.105,"$31,000,000 "
"Price, David",lhp-s,9.164,"$31,000,000 "
"Cabrera, Miguel",1b,15.101,"$30,000,000 "
"Cespedes, Yoenis",lf,7.000,"$29,000,000 "
"Pujols, Albert",dh-1b,18.000,"$28,000,000 "
"Verlander, Justin",rhp-s,13.002,"$28,000,000 "
"Hernandez, Felix",rhp-s,13.060,"$27,857,142 "
"Lester, Jon",lhp-s,12.075,"$27,500,000 "
"Arenado, Nolan",3b,5.155,"$26,000,000 "
"Stanton, Giancarlo",dh-rf,8.118,"$26,000,000 "
"Arrieta, Jake",rhp-s,7.145,"$25,000,000 "
"Votto, Joey",1b,11.027,"$25,000,000 "
"Zimmermann, Jordan",rhp-s,9.154,"$25,000,000 "
"Cano, Robinson",2b,13.076,"$24,000,000 "
"Martinez, J.D.",rf,7.036,"$23,750,000 "
"Donaldson, Josh",3b,6.158,"$23,000,000 "
"Posey, Buster",c-1b,8.161,"$22,177,778 "
"Tanaka, Masahiro",rhp-s,5.000,"$22,000,000 "
"Kemp, Matt",lf,12.049,"$21,750,000 "
"Encarnacion, Edwin",1b-dh,13.085,"$21,666,666 "
"Freeman, Freddie",1b,8.033,"$21,359,375 "
"Ellsbury, Jacoby",cf,11.037,"$21,142,857 "
"Porcello, Rick",rhp-s,9.170,"$21,125,000 "
"Davis, Chris",1b,9.061,"$21,118,782 "
"Blackmon, Charlie",rf-cf,6.102,"$21,000,000 "
"Choo, Shin-Soo",dh-rf,11.119,"$21,000,000 "
"Cueto, Johnny",rhp-s,11.000,"$21,000,000 "
"Hosmer, Eric",1b,7.146,"$21,000,000 "
"Santana, Carlos",dh-1b,8.115,"$20,333,333 "
"Betts, Mookie",rf,4.070,"$20,000,000 "
"Chen, Wei-Yin",lhp,7.000,"$20,000,000 "
"Darvish, Yu",rhp-s,7.000,"$20,000,000 "
"Gordon, Alex",lf,11.092,"$20,000,000 "
"Hamels, Cole",lhp-s,12.143,"$20,000,000 "
"Heyward, Jason",rf,9.000,"$20,000,000 "
"Martin, Russell",c,12.150,"$20,000,000 "
"Molina, Yadier",c,14.123,"$20,000,000 "
"Tulowitzki, Troy",ss,12.033,"$20,000,000 "
"Samardzija, Jeff",rhp-s,9.028,"$19,800,000 "
"Seager, Kyle",3b,7.085,"$19,500,000 "
"Jansen, Kenley",rhp-c,8.073,"$19,333,333 "
"Braun, Ryan",lf,11.129,"$19,000,000 "
"Turner, Justin",3b,8.045,"$19,000,000 "
"Rendon, Anthony",3b,5.130,"$18,800,000 "
"Hill, Rich",lhp-s,9.127,"$18,666,667 "
"Sandoval, Pablo",3b,10.042,"$18,600,000 "
"Davis, Wade",rhp-c,9.032,"$18,000,000 "
"Upton, Justin",lf,11.060,"$18,000,000 "
"Zimmerman, Ryan",1b,13.032,"$18,000,000 "
"Ryu, Hyun-Jin",lhp-s,6.000,"$17,900,000 "
"Trout, Mike",cf,7.070,"$17,666,666 "
"Belt, Brandon",1b,7.128,"$17,200,000 "
"Chapman, Aroldis",lhp-c,8.009,"$17,200,000 "
"Kluber, Corey",rhp-s,6.074,"$17,200,000 "
"Eovaldi, Nathan",rhp-s,7.013,"$17,000,000 "
"Happ, J.A.",lhp-s,10.047,"$17,000,000 "
"Davis, Khris",dh-lf,5.104,"$16,500,000 "
"Fowler, Dexter",rf,9.168,"$16,500,000 "
"Kennedy, Ian",rhp,9.124,"$16,500,000 "
"Abreu, Jose",1b,5.000,"$16,000,000 "
"Brantley, Michael",lf,8.131,"$16,000,000 "
"Grandal, Yasmani",c,6.115,"$16,000,000 "
"Leake, Mike",rhp-s,9.000,"$16,000,000 "
"Andrus, Elvis",ss,10.000,"$15,250,000 "
"Duffy, Danny",lhp-s,7.085,"$15,250,000 "
"Crawford, Brandon",ss,7.094,"$15,200,000 "
"Pedroia, Dustin",2b,12.041,"$15,125,000 "
"Cain, Lorenzo",cf-rf,7.074,"$15,000,000 "
"Desmond, Ian",cf-1b,9.027,"$15,000,000 "
"Morton, Charlie",rhp-s,10.010,"$15,000,000 "
"Prado, Martin",3b-1b,11.105,"$15,000,000 "
"Sale, Chris",lhp-s,8.061,"$15,000,000 "
"Segura, Jean",ss,6.065,"$14,850,000 "
"Carpenter, Matt",3b,7.012,"$14,750,000 "
"Longoria, Evan",3b,10.170,"$14,666,667 "
"Kipnis, Jason",2b,7.069,"$14,666,666 "
"Goldschmidt, Paul",1b,7.059,"$14,500,000 "
"Bruce, Jay",rf,10.125,"$14,000,000 "
"Cobb, Alex",rhp-s,7.059,"$14,000,000 "
"Cruz, Nelson",dh-rf,11.082,"$14,000,000 "
"Melancon, Mark",rhp-c,8.098,"$14,000,000 "
"Cole, Gerrit",rhp-s,5.111,"$13,500,000 "
"Trumbo, Mark",dh-rf,8.027,"$13,500,000 "
"Gordon, Dee",2b-cf,6.154,"$13,300,000 "
"Bauer, Trevor",rhp-s,4.158,"$13,000,000 "
"Britton, Zack",lhp,6.158,"$13,000,000 "
"Gyorko, Jedd",2b-3b,5.164,"$13,000,000 "
"Reddick, Josh",rf,8.050,"$13,000,000 "
"Simmons, Andrelton",ss,6.125,"$13,000,000 "
"Corbin, Patrick",lhp-s,6.105,"$12,916,667 "
"Bryant, Kris",3b,3.171,"$12,900,000 "
"Cozart, Zack",3b,7.084,"$12,666,667 "
"Chatwood, Tyler",rhp-s,7.039,"$12,500,000 "
"Zobrist, Ben",2b-rf,11.134,"$12,500,000 "
"Ozuna, Marcell",lf,5.124,"$12,250,000 "
"Bogaerts, Xander",ss,5.042,"$12,000,000 "
"Bumgarner, Madison",lhp-s,8.127,"$12,000,000 "
"Gonzalez, Marwin",1b-3b,6.133,"$12,000,000 "
"LeMahieu, D.J.",2b,6.128,"$12,000,000 "
"Machado, Manny",3b,6.056,"$12,000,000 "
"Morales, Kendrys",dh-1b,10.170,"$12,000,000 "
"Springer, George",cf,4.166,"$12,000,000 "
"Castro, Starlin",2b,8.150,"$11,857,142 "
"Gregorius, Didi",ss,5.159,"$11,750,000 "
"Martinez, Carlos",rhp-s,5.073,"$11,700,000 "
"Harper, Bryce",rf,6.159,"$11,538,462 "
"Cervelli, Francisco",c,8.146,"$11,500,000 "
"Rizzo, Anthony",1b,6.168,"$11,285,714 "
"Perez, Salvador",c,7.050,"$11,200,000 "
"Teheran, Julio",rhp-s,6.062,"$11,166,666 "
"Harvey, Matt",rhp-s,6.072,"$11,000,000 "
"Miller, Andrew",lhp,10.062,"$11,000,000 "
"Lindor, Francisco",ss,3.113,"$10,550,000 "
"Calhoun, Kole",rf,5.130,"$10,500,000 "
"Quintana, Jose",lhp-s,6.133,"$10,500,000 "
"Gurriel, Yulieski",1b,2.043,"$10,400,000 "
"Marte, Starling",cf,5.162,"$10,333,333 "
"McCutchen, Andrew",lf,9.123,"$10,000,000 "
"Murphy, Daniel",1b,9.109,"$10,000,000 "
"Roark, Tanner",rhp-s,5.055,"$10,000,000 "
"Robertson, David",rhp,10.070,"$10,000,000 "
"Castellanos, Nicholas",3b,5.029,"$9,950,000 "
"Minor, Mike",lhp-s,7.138,"$9,833,333 "
"Gennett, Scooter",2b,5.071,"$9,775,000 "
"Carrasco, Carlos",rhp-s,7.147,"$9,750,000 "
"Yelich, Christian",cf,5.069,"$9,750,000 "
"Puig, Yasiel",rf,5.102,"$9,700,000 "
"Wood, Alex",lhp-s,5.123,"$9,650,000 "
"Altuve, Jose",2b,7.072,"$9,500,000 "
"Cashner, Andrew",rhp-s,8.126,"$9,500,000 "
"deGrom, Jacob",rhp-s,4.139,"$9,500,000 "
"Kikuchi, Yusei",lhp-s,0.000,"$9,500,000 "
"Odorizzi, Jake",rhp-s,5.042,"$9,500,000 "
"Gausman, Kevin",rhp-s,4.151,"$9,350,000 "
"Lynn, Lance",rhp-s,7.119,"$9,333,334 "
"Nicasio, Juan",rhp,7.084,"$9,250,000 "
"Nova, Ivan",rhp-s,8.024,"$9,166,667 "
"Cahill, Trevor",rhp-s,9.093,"$9,000,000 "
"Dozier, Brian",2b,6.100,"$9,000,000 "
"Frazier, Todd",3b,7.071,"$9,000,000 "
"Hunter, Tommy",rhp,9.066,"$9,000,000 "
"Lagares, Juan",cf,5.160,"$9,000,000 "
"Mikolas, Miles",rhp-s,2.037,"$9,000,000 "
"Morrow, Brandon",rhp-c,10.096,"$9,000,000 "
"O'Day, Darren",rhp,10.103,"$9,000,000 "
"Ottavino, Adam",rhp,7.087,"$9,000,000 "
"Paxton, James",lhp-s,4.151,"$8,575,000 "
"Bradley, Jackie Jr.",cf,4.150,"$8,550,000 "
"Allen, Cody",rhp,6.076,"$8,500,000 "
"Dickerson, Corey",lf,5.101,"$8,500,000 "
"Herrera, Kelvin",rhp-c,6.157,"$8,500,000 "
"Lowrie, Jed",2b,10.111,"$8,500,000 "
"McGee, Jake",lhp,7.127,"$8,500,000 "
"Reed, Addison",rhp,7.001,"$8,500,000 "
"Shaw, Bryan",rhp,7.081,"$8,500,000 "
"Swarzak, Anthony",rhp,7.024,"$8,500,000 "
"Eaton, Adam",cf,6.030,"$8,400,000 "
"Ramos, Wilson",c,8.047,"$8,250,000 "
"Kiermaier, Kevin",cf,4.131,"$8,166,667 "
"Gibson, Kyle",rhp-s,5.039,"$8,125,000 "
"Alonso, Yonder",1b,7.116,"$8,000,000 "
"Castro, Jason",c,8.104,"$8,000,000 "
"Pineda, Michael",rhp-s,7.099,"$8,000,000 "
"Sabathia, CC",lhp-s,18.000,"$8,000,000 "
"Sanchez, Anibal",rhp-s,12.083,"$8,000,000 "
